ArtID,TP_Fcerror,TP_Sterror,TP_Glu_Phe,Phe,TotalLength,HeadLength,Gly,BulkN,BulkC,d15N,d13C
EN-170602-1,3.912252061,3.701242508,4.245987513,10.00749438,197,53,8.07,19.16202051,-12.38871321,19.16202051,-12.38871321
EN-170713-3,2.741343256,2.891977213,3.274731772,10.09,51,14,11.51,17.80072772,-16.00109125,17.80072772,-16.00109125
EN-170712-1,3.030898755,2.881960823,3.265222857,10.65,56,18,9.28,16.80505834,-15.67010442,16.80505834,-15.67010442
EN-170602-5,4.071475236,3.67904625,4.027629357,10.8,182,55,7.15,17.83426625,-12.48308637,17.83426625,-12.48308637
EN-170717-1,3.077260694,2.948281666,3.281787543,11.18,117.5,31.4,9.99,17.97716188,-16.49878108,17.97716188,-16.49878108
EN-170527-3,3.669215743,3.355249518,3.742310749,11.42764178,170,NA,8.52,17.75484297,-13.90607625,17.75484297,-13.90607625
EN-170710-1B,3.622743231,3.337760598,3.804464974,11.65,171,51,9.02,18.159,-12.63681429,18.159,-12.63681429
EN-170819-2B,NA,NA,3.156037992,11.73,112,33,NA,15.9503602,-13.10908255,15.9503602,-13.10908255
EN-170610-6,3.149459048,2.99144709,3.470492441,11.79,70,NA,10.34,18.59179018,-14.71320899,18.59179018,-14.71320899
EN-170617-1,3.193570572,2.954319263,3.115806848,11.81,95,NA,9.57,17.876,-15.21691153,17.876,-15.21691153
EN-170327-2,3.680652824,3.344969544,3.57529883,11.9951842,123,33,8.87,18.6962709,-13.11841451,18.6962709,-13.11841451
EN-170506-3,3.004881746,2.77557281,3.377722396,12.09448688,75,22,10,17.5648687,-14.93142378,17.5648687,-14.93142378
EN-170602-2,3.441839076,3.213321456,3.604699464,12.14184022,132,32,10.03,18.08397361,-14.49801683,18.08397361,-14.49801683
TJ-170819-2,3.370846529,2.936662567,3.156037992,12.53,89,26,8.5,18.002,-13.80972924,18.002,-13.80972924
EN-170513-1,3.529156882,3.204932254,3.672820108,12.59334119,140,NA,9.6,19.01532926,-13.34407285,19.01532926,-13.34407285
EN-170610-1B,3.251511768,2.953133052,3.617420245,12.78,87,23,10.05,18.30575259,-15.11692185,18.30575259,-15.11692185
EN-170610-2,3.550849681,3.22514691,3.544530257,13.16,127,33,10.13,18.07203401,-12.46527983,18.07203401,-12.46527983
EN-170701-1,2.916528996,2.552386316,2.745912035,15.9,74,19,12.51,17.97555517,-15.57943581,17.97555517,-15.57943581
EN-170713-1,2.529581024,2.061673173,2.248463278,16.22,52,14.5,11.87,17.52593143,-16.18431573,17.52593143,-16.18431573
EN-170610-5,2.989023806,2.454021321,2.628046776,16.36,90,21,11.38,18.96824576,-15.02474914,18.96824576,-15.02474914
