Source,Meand13C,SDd13C,Meand15N,SDd15N,n
KLP,-15.33,1.9,10.25,1,21
KLP,-16.49,1.6,10.36,1.1,21
PHYTO,-23.02,0.5,7.39,1,12
PHYTO,-20.11,1.48,5.49,1.08,27
KLP,-13.48,2.17,7.27,0.46,27
KLP,-15.2,0.9,10.9,2.9,9
KLP,-15.9,0.5,10.4,0.3,4
KLP,-22.1,1.3,11.6,0.4,4
KLP,-12.2,1,9.7,1.4,27
KLP,-13,2,9.5,1.6,31
KLP,-12.4,1,9.7,0.9,18
KLP,-12.7,1.3,8.6,1.2,27
KLP,-13.8,1.9,8.5,1.1,30
KLP,-13.2,1.4,9.7,2.1,16
PHYTO,-22.4,1,6.2,1.3,6
PHYTO,-19.6,1.4,7.3,1.1,5
PHYTO,-20.9,1.1,7.5,0.4,12
PHYTO,-20,0.3,5.7,0.4,3
PHYTO,-21.9,1.2,7.3,0.9,5
PHYTO,-22.7,2,8,1.5,170
KLP,-17.27,1.03,6.8,0.92,8
PHYTO,-22.47,0.27,7.57,0.46,10
