Isotope,Model,elpd_loo,elpd_diff,se_diff
?13C,?13C ~ TL + Site,-77.8,0,0
?13C,?13C ~ TL + YearSite,-77.9,-0.1,0.4
?13C,?13C ~ TL,-77.9,-0.1,1.5
?13C,?13C ~ TL + Year,-78.5,-0.7,1.6
?13C,?13C ~ Year,-91.1,-13.3,5.8
?13C,?13C ~ Site,-91.5,-13.7,5.8
?13C,?13C ~ YearSite,-91.5,-13.7,5.8
?15N,?15N ~ TL + Year,-86.0,0,0
?15N,?15N ~ Year,-86.3,-0.3,1.1
?15N,?15N ~ TL + YearSite,-89.4,-3.4,2.6
?15N,?15N ~ TL + Site,-89.6,-3.6,3.3
?15N,?15N ~ YearSite,-90.1,-4.2,2.7
?15N,?15N ~ Site,-90.6,-4.6,3.6
?15N,?15N ~ TL,-91.1,-5.2,4.1
