Type,Order,Family,Name,Habitat,PreyLength,GSBLength
Fish,Ophidiiformes,Ophidiidae,CuskEel,Sandy,21.3,60.9
Fish,Barachoidiformes,Batrachoididae,PlainfinMidshipman,Sandy,18,63
Fish,Pleuronectiformes,Pleuronectidae,HornyheadTurbot,Sandy,15.1,63.3
Fish,Pleuronectiformes,Pleuronectidae,HornyheadTurbot,Sandy,15.9,63.3
Fish,Scorpaeniformes,Scorpaenidae,Scorpionfish,Rocky,17.8,69.1
Fish,Clupeiformes,Clupeidae,Sardine,OpenWater,NA,76.5
Fish,Scorpaeniformes,Cottidae,Cabezon,Rocky_Sandy,21.6,78.8
Fish,Scorpaeniformes,Cottidae,Cabezon,Rocky_Sandy,17,78.8
Fish,Sphyraenidae,Sphyraena,Barracuda,OpenWater,NA,79
Fish,Barachoidiformes,Batrachoididae,SpecklefinMidshipman,Rocky_Sandy,NA,79.1
Fish,Pleuronectiformes,leuronectidae,Turbot,Sandy,NA,79.1
Fish,Actinopterygii,Acanthuriformes,Queenfish,Sandy,21.3,88.8
Fish,Rhinopristiformes,Rhinobatidae,Guitarfish,Sandy,30,141.3
Fish,Rhinopristiformes,Rhinobatidae,Guitarfish,Sandy,30,141.3
Fish,Actinopterygii,Acanthuriformes,WhiteCroaker,Sandy,18.3,53.7
Fish,Actinopterygii,Acanthuriformes,WhiteCroaker,Sandy,NA,86.7
Fish,Perciformes,Uranoscopidae,SmoothStargazer,Sandy,22,NA
Fish,Myliobatiformes,Myliobatidae,BatRay,Rocky_Sandy,NA,NA
Fish,NA,NA,NA,NA,NA,79.1
Fish,NA,NA,NA,NA,NA,56.3
Fish,NA,NA,NA,NA,NA,162.1
Fish,NA,NA,NA,NA,NA,76.5
Fish,NA,NA,NA,NA,NA,75.1
Fish,NA,NA,NA,NA,NA,42.1
Invertebrate,Decapoda,Callianassidae,GhostShrimp,Sandy,NA,42.1
Invertebrate,Octopoda,Octopodidae,Octopus,Rocky,18,63
Invertebrate,Adapedonta,Pharidae,RazorClam,Sandy,NA,79.1
Invertebrate,Decapoda,Palinuridae,Lobster,Rocky,NA,113.5
Invertebrate,Decapoda,Cancridae,GracefulCrab,Sandy,8,137
Invertebrate,Decapoda,Cancridae,GracefulCrab,Sandy,8.4,137
Invertebrate,Decapoda,Cancridae,GracefulCrab,Sandy,9,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,4.2,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,5.4,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,6.3,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,6.5,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,6.6,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.1,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.2,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.3,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.4,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.6,137
Invertebrate,Decapoda,Calappidae,BoxCrab,Sandy,7.7,137
Invertebrate,Decapoda,Portunidae,SwimmingCrab,Sandy,6.1,137
Invertebrate,Decapoda,Portunidae,SwimmingCrab,Sandy,6.2,137
Invertebrate,Decapoda,Portunidae,SwimmingCrab,Sandy,6.3,137
Invertebrate,Decapoda,Portunidae,SwimmingCrab,Sandy,6.8,137
Invertebrate,Octopoda,Octopodidae,Octopus,Rocky,NA,43.7
Invertebrate,Octopoda,Octopodidae,Octopus,Rocky,NA,46.6
Invertebrate,Octopoda,Octopodidae,Octopus,Rocky,NA,51.8
Invertebrate,Octopoda,Octopodidae,Octopus,Rocky,NA,61.5
Invertebrate,Decapoda,Munididae,RedCrab,Rocky_Sandy,NA,85
Invertebrate,Decapoda,Munididae,RedCrab,Rocky_Sandy,NA,110
Invertebrate,Stomatopoda,Hemisquillidae,MantisShrimp,Sandy,7,90
Invertebrate,Stomatopoda,Hemisquillidae,MantisShrimp,Sandy,NA,141.3
Invertebrate,Myopsida,Loliginidae,MarketSquid,OpenWater,25,71
Invertebrate,Myopsida,Loliginidae,MarketSquid,OpenWater,22.4,71
Invertebrate,Myopsida,Loliginidae,MarketSquid,OpenWater,21,71
